participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback,varvol_avg_choice,weber_avg_choice
baac83df,B,Instructions,1,block1,high_noise,0,loss,2668,0,1,0,0.58,0.48
baac83df,B,Instructions,2,block1,high_noise,1,win,997,1,1,0,0.86,0.72
baac83df,B,Instructions,3,block1,high_noise,1,win,757,1,1,0,0.9,0.84
baac83df,B,Instructions,4,block1,high_noise,1,loss,693,1,1,1,0.9,0.9
baac83df,B,Instructions,5,block1,high_noise,1,win,830,1,1,0,0.74,0.56
baac83df,B,Instructions,6,block1,high_noise,1,loss,613,1,1,1,0.98,0.76
baac83df,B,Instructions,7,block1,high_noise,1,loss,677,0,0,0,0.7,0.62
baac83df,B,Instructions,8,block1,high_noise,0,loss,211,1,0,1,0.38,0.2
baac83df,B,Instructions,9,block1,high_noise,0,win,1000,1,0,0,0.8,0.72
baac83df,B,Instructions,10,block1,high_noise,0,win,506,1,0,0,0.44,0.38
baac83df,B,Instructions,11,block1,high_noise,0,loss,478,1,0,1,0.32,0.18
baac83df,B,Instructions,12,block1,high_noise,0,loss,1524,1,0,1,0.52,0.36
baac83df,B,Instructions,13,block1,high_noise,1,loss,59,0,0,0,0.64,0.7
baac83df,B,Instructions,14,block1,high_noise,0,win,3032,1,0,0,0.52,0.3
baac83df,B,Instructions,15,block1,high_noise,0,loss,427,1,0,1,0.24,0.2
baac83df,B,Instructions,16,block1,high_noise,0,loss,469,1,0,1,0.6,0.4
baac83df,B,Instructions,17,block1,high_noise,1,win,159,0,0,1,0.72,0.72
baac83df,B,Instructions,18,block1,high_noise,1,loss,899,0,0,0,0.76,0.82
baac83df,B,Instructions,19,block1,high_noise,1,win,606,0,0,1,0.74,0.5
baac83df,B,Instructions,20,block1,high_noise,1,win,406,0,0,1,0.76,0.66
baac83df,B,Instructions,21,block1,high_noise,1,loss,393,0,0,0,0.84,0.72
baac83df,B,Instructions,22,block1,high_noise,1,win,314,0,0,1,0.66,0.58
baac83df,B,Instructions,23,block1,high_noise,1,loss,313,0,0,0,0.68,0.74
baac83df,B,Instructions,24,block1,high_noise,1,loss,314,0,0,0,0.56,0.5
baac83df,B,Instructions,25,block1,high_noise,0,win,166,1,0,0,0.4,0.34
baac83df,B,Instructions,26,block1,high_noise,0,win,175,1,0,0,0.3,0.16
baac83df,B,Instructions,27,block1,high_noise,0,win,607,1,0,0,0.28,0.26
baac83df,B,Instructions,28,block1,high_noise,0,win,133,1,0,0,0.16,0.18
baac83df,B,Instructions,29,block1,high_noise,0,win,204,1,0,0,0.18,0.1
baac83df,B,Instructions,30,block1,high_noise,0,win,2391,1,0,0,0.06,0.06
baac83df,B,Instructions,31,block1,high_noise,0,win,571,1,0,0,0.1,0.2
baac83df,B,Instructions,32,block1,high_noise,0,win,692,1,0,0,0.16,0.14
baac83df,B,Instructions,33,block1,high_noise,0,loss,393,0,1,0,0.12,0.06
baac83df,B,Instructions,34,block1,high_noise,1,loss,687,1,1,1,0.26,0.18
baac83df,B,Instructions,35,block1,high_noise,1,loss,382,1,1,1,0.24,0.1
baac83df,B,Instructions,36,block1,high_noise,0,win,42,0,1,1,0.12,0.14
baac83df,B,Instructions,37,block1,high_noise,0,loss,386,0,1,0,0.08,0.12
baac83df,B,Instructions,38,block1,high_noise,1,win,367,1,1,0,0.34,0.14
baac83df,B,Instructions,39,block1,high_noise,1,loss,350,1,1,1,0.48,0.3
baac83df,B,Instructions,40,block1,high_noise,1,win,539,1,1,0,0.24,0.12
baac83df,B,Instructions,41,block1,high_noise,1,win,1116,1,1,0,0.54,0.46
baac83df,B,Instructions,42,block1,high_noise,1,loss,410,1,1,1,0.74,0.46
baac83df,B,Instructions,43,block1,high_noise,1,win,854,1,1,0,0.42,0.36
baac83df,B,Instructions,44,block1,high_noise,1,loss,1070,1,1,1,0.54,0.58
baac83df,B,Instructions,45,block1,high_noise,1,loss,665,1,1,1,0.44,0.3
baac83df,B,Instructions,46,block1,high_noise,1,loss,1626,1,1,1,0.28,0.06
baac83df,B,Instructions,47,block1,high_noise,0,win,903,0,1,1,0.22,0.14
baac83df,B,Instructions,48,block1,high_noise,0,loss,991,0,1,0,0.1,0.12
baac83df,B,Instructions,49,block1,high_noise,1,win,385,1,1,0,0.16,0.08
baac83df,B,Instructions,50,block1,high_noise,1,win,288,1,1,0,0.58,0.48
baac83df,B,Instructions,1,block2,medium_noise,0,loss,4552,1,0,1,0.68,0.52
baac83df,B,Instructions,2,block2,medium_noise,1,loss,378,0,0,0,0.72,0.52
baac83df,B,Instructions,3,block2,medium_noise,0,win,237,1,0,0,0.62,0.52
baac83df,B,Instructions,4,block2,medium_noise,0,win,970,1,0,0,0.26,0.18
baac83df,B,Instructions,5,block2,medium_noise,0,win,199,1,0,0,0.18,0.22
baac83df,B,Instructions,6,block2,medium_noise,0,win,184,1,0,0,0.2,0.12
baac83df,B,Instructions,7,block2,medium_noise,0,win,296,1,0,0,0.14,0.08
baac83df,B,Instructions,8,block2,medium_noise,0,loss,193,1,0,1,0.12,0.06
baac83df,B,Instructions,9,block2,medium_noise,0,win,946,1,0,0,0.34,0.2
baac83df,B,Instructions,10,block2,medium_noise,0,win,226,1,0,0,0.34,0.12
baac83df,B,Instructions,11,block2,medium_noise,0,win,180,1,0,0,0.18,0.04
baac83df,B,Instructions,12,block2,medium_noise,0,win,5372,1,0,0,0.16,0.04
baac83df,B,Instructions,13,block2,medium_noise,0,loss,513,0,1,0,0.14,0.04
baac83df,B,Instructions,14,block2,medium_noise,0,loss,717,0,1,0,0.3,0.06
baac83df,B,Instructions,15,block2,medium_noise,1,win,254,1,1,0,0.48,0.12
baac83df,B,Instructions,16,block2,medium_noise,1,loss,452,1,1,1,0.56,0.24
baac83df,B,Instructions,17,block2,medium_noise,1,win,544,1,1,0,0.42,0.16
baac83df,B,Instructions,18,block2,medium_noise,1,win,5272,1,1,0,0.7,0.32
baac83df,B,Instructions,19,block2,medium_noise,1,win,433,1,1,0,0.58,0.42
baac83df,B,Instructions,20,block2,medium_noise,1,win,547,1,1,0,0.8,0.64
baac83df,B,Instructions,21,block2,medium_noise,1,win,1807,1,1,0,0.86,0.8
baac83df,B,Instructions,22,block2,medium_noise,1,win,448,1,1,0,0.82,0.68
baac83df,B,Instructions,23,block2,medium_noise,1,win,394,1,1,0,0.82,0.9
baac83df,B,Instructions,24,block2,medium_noise,1,win,670,1,1,0,0.78,0.94
baac83df,B,Instructions,25,block2,medium_noise,1,win,285,1,1,0,0.86,0.9
baac83df,B,Instructions,26,block2,medium_noise,1,loss,543,0,0,0,0.88,0.9
baac83df,B,Instructions,27,block2,medium_noise,1,loss,908,0,0,0,0.72,0.82
baac83df,B,Instructions,28,block2,medium_noise,0,win,143,1,0,0,0.52,0.46
baac83df,B,Instructions,29,block2,medium_noise,0,win,476,1,0,0,0.28,0.26
baac83df,B,Instructions,30,block2,medium_noise,0,win,238,1,0,0,0.34,0.16
baac83df,B,Instructions,31,block2,medium_noise,0,win,169,1,0,0,0.22,0.2
baac83df,B,Instructions,32,block2,medium_noise,0,win,308,1,0,0,0.22,0.2
baac83df,B,Instructions,33,block2,medium_noise,0,win,488,1,0,0,0.18,0.12
baac83df,B,Instructions,34,block2,medium_noise,0,win,723,1,0,0,0.1,0.08
baac83df,B,Instructions,35,block2,medium_noise,0,win,7271,1,0,0,0.06,0.1
